Date,Open,High,Low,Close,Adj Close,Volume,
05/01/2025,592.08,662.67,570.50,647.49,647.49,292472100,
04/01/2025,570.84,592.66,479.80,549.00,549.00,451371800,
03/01/2025,673.68,681.25,553.30,576.36,575.85,363413500,
02/01/2025,675.91,740.91,641.86,668.20,667.61,298418700,
01/01/2025,589.72,710.79,587.82,689.18,688.57,317942200,
12/01/2024,577.50,638.40,575.57,585.51,584.52,263222700,
11/01/2024,567.61,599.66,549.05,574.32,573.35,237811200,
10/01/2024,577.98,602.95,561.52,567.58,566.62,265878300,
09/01/2024,519.64,577.40,495.60,572.44,570.93,246438000,
08/01/2024,521.00,544.23,450.80,521.31,519.93,323379200,
07/01/2024,504.95,542.81,442.65,474.83,473.57,324005400,
06/01/2024,470.86,522.88,468.24,504.22,502.39,226950900,
05/01/2024,428.60,482.50,427.11,466.83,465.13,282474800,
04/01/2024,487.20,531.49,414.50,430.17,428.61,437131800,
03/01/2024,492.11,523.57,476.00,485.58,483.81,279558900,
02/01/2024,393.94,494.36,393.05,490.13,487.83,466151400,
01/01/2024,351.32,406.36,340.01,390.14,388.31,347020200,
12/01/2023,325.48,361.90,313.66,353.96,352.30,332813800,
11/01/2023,301.85,342.92,301.85,327.15,325.62,329270500,
10/01/2023,302.74,330.54,279.40,301.27,299.86,511307900,
09/01/2023,299.37,312.87,286.79,300.21,298.80,406686600,
08/01/2023,317.54,324.14,274.38,295.89,294.50,423147800,
07/01/2023,286.70,326.20,284.85,318.60,317.11,624605100,
06/01/2023,265.90,289.79,258.88,286.98,285.63,480979900,
05/01/2023,238.62,268.65,229.85,264.72,263.48,486968500,
04/01/2023,208.84,241.69,207.13,240.32,239.19,446687900,
03/01/2023,174.59,212.17,171.43,211.94,210.95,690053000,
02/01/2023,148.03,197.16,147.06,174.94,174.12,772170900,
01/01/2023,122.82,153.19,122.28,148.97,148.27,548770600,
12/01/2022,119.20,124.67,112.46,120.34,119.78,653019800,
11/01/2022,94.33,118.74,88.09,118.10,117.55,1063791200,
10/01/2022,137.14,142.39,92.60,93.16,92.72,1107662200,
09/01/2022,163.58,171.39,134.12,135.68,135.04,635014800,
08/01/2022,157.25,183.10,155.23,162.93,162.17,551922900,
07/01/2022,160.31,183.85,154.85,159.10,158.35,586482400,
06/01/2022,196.51,202.03,154.25,161.25,160.49,685975600,
05/01/2022,201.17,224.30,176.11,193.64,192.73,680548800,
04/01/2022,224.55,236.86,169.00,200.47,199.53,672255000,
03/01/2022,209.87,231.15,185.82,222.36,221.32,733274500,
02/01/2022,314.56,328.00,190.22,211.03,210.04,1128039600,
01/01/2022,338.30,343.09,289.01,313.26,311.79,427237300,
12/01/2021,330.29,352.71,299.50,336.35,334.77,438246900,
11/01/2021,326.04,353.83,323.20,324.46,322.94,441125000,
10/01/2021,341.61,345.02,308.11,323.57,322.05,588382500,
09/01/2021,379.59,384.33,338.15,339.39,337.80,338121800,
08/01/2021,358.10,382.76,347.70,379.38,377.60,226132300,
