Date,Open,High,Low,Close,Adj Close,Volume,
05/30/2025,642.50,649.41,632.78,647.49,647.49,16240951,
05/26/2025,635.41,653.32,632.75,647.49,647.49,43668300,
05/19/2025,628.25,646.61,622.65,627.06,627.06,44483000,
05/12/2025,630.92,662.67,621.03,640.34,640.34,85744900,
05/05/2025,591.22,611.30,586.58,592.49,592.49,62677600,
04/28/2025,555.64,604.34,529.50,597.02,597.02,112156300,
04/21/2025,491.33,549.86,479.80,547.27,547.27,82748200,
04/14/2025,556.17,557.77,495.63,501.48,501.48,63018200,
04/07/2025,485.10,587.89,481.90,543.57,543.57,149672700,
03/31/2025,563.50,592.66,494.20,504.73,504.73,120799400,
03/24/2025,614.97,633.88,573.92,576.74,576.74,71702900,
03/17/2025,607.46,613.10,574.66,596.25,596.25,105661500,
03/10/2025,608.07,633.33,586.51,607.60,607.06,83993200,
03/03/2025,673.68,681.25,600.61,625.66,625.10,80931200,
02/24/2025,686.28,688.65,641.86,668.20,667.61,80779600,
02/17/2025,736.00,737.00,682.36,683.55,682.94,67722000,
02/10/2025,718.56,740.91,710.04,736.67,736.02,67389100,
02/03/2025,675.91,725.01,675.25,714.52,713.88,82528000,
01/27/2025,626.61,710.79,625.10,689.18,688.57,119381700,
01/20/2025,617.83,652.00,609.01,647.49,646.91,52923500,
01/13/2025,607.10,624.97,588.55,612.77,612.23,65543200,
01/06/2025,611.83,632.10,597.34,615.86,615.31,55974700,
12/30/2024,588.75,609.50,583.85,604.63,604.09,37164500,
12/23/2024,589.60,607.99,586.25,599.81,599.28,29097500,
12/16/2024,629.98,632.37,580.00,585.25,584.26,104806400,
12/09/2024,623.92,638.40,606.17,620.35,619.30,49130100,
12/02/2024,577.50,629.79,575.57,623.77,622.71,67143300,
11/25/2024,562.10,578.46,556.39,574.32,573.35,38287100,
11/18/2024,557.04,570.00,549.05,559.14,558.19,53985100,
11/11/2024,586.36,599.66,551.50,554.08,553.14,66021000,
11/04/2024,564.10,594.80,555.17,589.34,588.34,64214800,
10/28/2024,582.00,601.20,562.56,567.16,566.20,92950700,
10/21/2024,576.03,585.00,561.52,573.25,572.28,49487400,
10/14/2024,594.22,600.10,574.03,576.47,575.49,45480100,
10/07/2024,598.22,602.95,581.61,589.95,588.95,45728800,
09/30/2024,567.70,596.85,564.80,595.94,594.93,60326800,
09/23/2024,569.50,577.40,554.19,567.36,566.40,66166300,
09/16/2024,524.54,564.50,517.40,561.35,559.86,69255700,
09/09/2024,506.16,527.58,495.60,524.62,523.23,54044000,
09/02/2024,519.64,525.49,498.25,500.27,498.95,44179700,
08/26/2024,527.60,528.00,512.45,521.31,519.93,42447700,
08/19/2024,526.87,544.23,522.76,528.00,526.60,58279600,
08/12/2024,516.86,539.77,509.10,527.42,526.02,63214200,
08/05/2024,451.35,518.34,450.80,517.77,516.40,92309900,
07/29/2024,469.88,527.17,456.70,488.14,486.85,114143600,
07/22/2024,486.58,495.22,442.65,465.70,464.47,71591200,
07/15/2024,498.63,506.68,459.12,476.79,475.53,89108200,
07/08/2024,542.35,542.81,494.23,498.87,497.55,70862800,
07/01/2024,504.95,540.87,493.17,539.91,538.48,45427400,
06/24/2024,499.20,522.88,494.29,504.22,502.89,60493700,
06/17/2024,501.67,510.75,492.39,494.78,493.47,59258900,
06/10/2024,493.86,514.01,493.41,504.16,502.33,53091700,
06/03/2024,470.86,502.82,468.24,492.96,491.17,54106600,
05/27/2024,476.58,480.86,454.46,466.83,465.13,47057000,
05/20/2024,469.95,479.85,461.54,478.22,476.48,57326100,
05/13/2024,472.75,482.50,460.08,471.91,470.19,65663400,
05/06/2024,455.58,477.50,453.34,476.20,474.47,60373000,
04/29/2024,439.56,454.17,427.11,451.96,450.32,91987400,
04/22/2024,489.72,510.00,414.50,443.29,441.68,185705100,
04/15/2024,516.72,518.53,475.73,481.07,479.32,75474200,
04/08/2024,529.28,531.49,505.80,511.90,510.04,57874900,
04/01/2024,487.20,530.70,481.78,527.34,525.42,78145500,
03/25/2024,505.79,510.00,485.15,485.58,483.82,44788500,
03/18/2024,491.91,515.04,481.28,509.58,507.73,52199000,
03/11/2024,497.01,502.31,476.00,484.10,482.34,89728900,
03/04/2024,503.00,523.57,487.89,505.95,504.11,76568900,
02/26/2024,483.47,504.25,479.92,502.30,500.47,69632100,
02/19/2024,469.72,494.36,461.79,484.03,481.76,70992700,
02/12/2024,468.19,488.62,455.09,473.32,471.10,104675800,
02/05/2024,469.88,473.59,453.00,468.11,465.91,122781800,
01/29/2024,394.99,485.96,387.10,474.99,472.76,171880500,
01/22/2024,387.95,396.79,381.16,394.14,392.29,77139900,
01/15/2024,373.65,384.36,358.61,383.45,381.65,65856100,
01/08/2024,354.70,377.06,352.05,374.49,372.73,85972400,
01/01/2024,351.32,353.50,340.01,351.95,350.30,60513900,
12/25/2023,354.99,361.90,351.82,353.96,352.30,49885800,
12/18/2023,337.48,357.20,337.02,353.39,351.73,80147000,
12/11/2023,329.40,338.66,320.00,334.92,333.35,110250200,
12/04/2023,317.29,333.17,313.66,332.75,331.19,77266100,
11/27/2023,336.18,339.90,320.76,324.82,323.30,82757300,
11/20/2023,334.89,342.92,334.19,338.23,336.64,45158600,
11/13/2023,326.20,338.40,325.70,335.04,333.47,82046500,
11/06/2023,315.98,329.10,314.45,328.77,327.23,75752300,
10/30/2023,299.09,318.82,296.86,314.60,313.12,106689800,
10/23/2023,309.50,318.35,279.40,296.73,295.34,175795200,
10/16/2023,318.64,325.94,306.47,308.65,307.20,90771500,
10/09/2023,312.50,330.54,311.82,314.69,313.21,105449500,
10/02/2023,302.74,316.31,298.50,315.43,313.95,91422400,
09/25/2023,295.64,310.64,286.79,300.21,298.80,122357700,
09/18/2023,298.19,308.06,293.27,299.08,297.68,96208200,
09/11/2023,301.41,312.87,298.75,300.31,298.90,93630100,
09/04/2023,297.02,307.05,292.22,297.89,296.49,81670800,
08/28/2023,288.00,301.74,285.80,296.38,294.99,82850500,
08/21/2023,283.45,299.46,276.03,285.50,284.16,93530700,
08/14/2023,300.98,307.23,274.38,283.25,281.92,103824500,
08/07/2023,313.23,317.89,300.36,301.64,300.23,79702500,
07/31/2023,323.69,325.66,309.93,310.73,309.27,101859000,
07/24/2023,295.78,326.20,288.30,325.48,323.95,195207700,
07/17/2023,307.54,318.68,291.20,294.26,292.88,133778000,
07/10/2023,295.55,316.24,287.05,308.87,307.42,154178300,
07/03/2023,286.70,298.12,284.85,290.53,289.17,115641500,
06/26/2023,288.70,289.79,277.60,286.98,285.63,102134800,
06/19/2023,278.73,289.67,276.22,288.73,287.38,109809300,
06/12/2023,267.17,287.85,265.33,281.00,279.68,119857600,
06/05/2023,270.30,276.57,258.88,264.95,263.71,104163400,
05/29/2023,265.25,275.35,258.45,272.61,271.33,94305000,
05/22/2023,245.41,262.31,244.95,262.04,260.81,111309500,
05/15/2023,236.92,248.69,235.33,245.64,244.49,104553200,
05/08/2023,231.42,238.21,230.27,233.81,232.71,88989400,
05/01/2023,238.62,244.92,229.85,232.78,231.69,132826200,
04/24/2023,213.68,241.69,207.13,240.32,239.19,187692300,
04/17/2023,219.79,220.98,209.58,212.89,211.89,77853600,
04/10/2023,214.71,222.11,210.66,221.49,220.45,96690000,
04/03/2023,208.84,216.94,208.20,216.10,215.09,84452000,
03/27/2023,204.81,212.17,197.90,211.94,210.95,104554200,
03/20/2023,198.48,207.88,193.64,206.01,205.04,140597200,
03/13/2023,177.96,205.76,174.82,195.61,194.69,209082400,
03/06/2023,188.00,190.36,178.80,179.51,178.67,141591100,
02/27/2023,171.88,186.62,169.06,185.25,184.38,159556200,
02/20/2023,174.31,178.17,167.66,170.39,169.59,96834900,
02/13/2023,178.22,181.51,169.70,172.88,172.07,130805500,
02/06/2023,186.53,193.78,173.35,174.15,173.33,196256000,
01/30/2023,149.41,197.16,146.95,186.53,185.66,340828600,
01/23/2023,139.29,153.19,138.66,151.74,151.03,137316300,
01/16/2023,136.18,139.94,132.14,139.37,138.72,98676900,
01/09/2023,131.16,137.68,127.15,136.98,136.34,133938000,
01/02/2023,122.82,130.33,122.28,130.02,129.41,120957200,
12/26/2022,117.93,121.03,115.51,120.34,119.78,82954800,
12/19/2022,116.83,120.34,112.46,118.04,117.49,120319900,
12/12/2022,115.18,124.14,113.14,119.43,118.87,207965200,
12/05/2022,121.75,124.67,112.88,115.90,115.36,165278000,
11/28/2022,110.78,124.04,108.38,123.49,122.91,167059100,
11/21/2022,111.52,112.73,108.32,111.41,110.89,86730800,
11/14/2022,110.99,118.74,109.80,112.05,111.52,205804800,
11/07/2022,94.78,114.90,93.10,113.02,112.49,382385600,
10/31/2022,98.22,99.32,88.09,90.79,90.36,419674200,
10/24/2022,127.25,138.35,96.38,99.20,98.73,513033000,
10/17/2022,130.30,137.84,125.44,130.01,129.40,158453100,
10/10/2022,133.55,136.11,122.53,126.76,126.17,154995700,
10/03/2022,137.14,142.39,132.44,133.45,132.82,159819000,
09/26/2022,140.12,142.24,134.12,135.68,135.04,166133800,
09/19/2022,145.24,149.60,138.89,140.41,139.75,149854700,
09/12/2022,167.39,171.39,144.29,146.29,145.60,185457800,
09/05/2022,160.10,169.54,156.81,169.15,168.36,80788600,
08/29/2022,160.66,167.93,155.91,160.32,159.57,133353500,
08/22/2022,165.49,170.92,159.77,161.78,161.02,98077100,
08/15/2022,178.96,181.44,167.05,167.96,167.17,102238800,
08/08/2022,168.00,183.10,166.60,180.50,179.65,121569400,
08/01/2022,157.25,172.15,155.23,167.11,166.33,149464000,
07/25/2022,169.00,170.87,154.85,159.10,158.35,213761000,
07/18/2022,166.75,183.85,165.64,169.27,168.48,144072000,
07/11/2022,167.07,167.49,157.28,164.70,163.93,102188400,
07/04/2022,158.14,172.72,157.02,170.88,170.08,95037100,
06/27/2022,171.32,171.75,155.00,160.03,159.28,152188800,
06/20/2022,165.93,170.25,154.25,170.16,169.36,207227900,
06/13/2022,170.59,172.58,159.61,163.74,162.97,147320200,
06/06/2022,193.99,202.03,175.02,175.57,174.75,122622500,
05/30/2022,194.89,200.94,185.00,190.78,189.89,114171200,
05/23/2022,195.19,196.99,176.11,195.13,194.21,149114900,
05/16/2022,197.05,205.46,187.87,193.54,192.63,131857800,
05/09/2022,199.84,202.96,184.78,198.62,197.69,164721100,
05/02/2022,201.17,224.30,200.99,203.77,202.81,208723900,
04/25/2022,182.73,212.48,169.00,200.47,199.53,282175400,
04/18/2022,210.00,218.43,183.27,184.11,183.25,166088100,
04/11/2022,218.42,222.03,210.00,210.18,209.19,78256700,
04/04/2022,225.98,236.86,218.56,222.33,221.29,126190000,
