Date,Open,High,Low,Close,Adj Close,Volume,
05/30/2025,642.50,649.41,632.78,647.49,647.49,16233600,
05/29/2025,651.65,653.32,639.50,645.05,645.05,8883400,
05/28/2025,642.60,650.88,642.55,643.58,643.58,9042900,
05/27/2025,635.41,643.08,632.75,642.32,642.32,9508400,
05/23/2025,624.00,632.45,622.65,627.06,627.06,8454100,
05/22/2025,634.05,643.25,630.71,636.57,636.57,8228400,
05/21/2025,631.79,646.61,630.17,635.50,635.50,11464600,
05/20/2025,636.01,639.35,632.26,637.10,637.10,6743500,
05/19/2025,628.25,643.00,627.80,640.43,640.43,9592400,
05/16/2025,637.96,640.44,626.15,640.34,640.34,18519000,
05/15/2025,654.28,657.31,638.58,643.88,643.88,14341800,
05/14/2025,661.21,662.67,654.31,659.36,659.36,12348200,
05/13/2025,645.54,660.92,642.83,656.03,656.03,18570800,
05/12/2025,630.92,640.39,621.03,639.43,639.43,21965100,
05/09/2025,603.72,606.97,591.71,592.49,592.49,10427300,
05/08/2025,606.29,611.30,596.62,598.01,598.01,14622800,
05/07/2025,590.36,603.08,586.67,596.81,596.81,13139100,
05/06/2025,592.53,596.03,586.58,587.31,587.31,10600700,
05/05/2025,591.22,603.21,588.05,599.27,599.27,13887700,
05/02/2025,583.46,604.34,578.33,597.02,597.02,24739300,
05/01/2025,592.08,592.95,570.50,572.21,572.21,31159000,
04/30/2025,538.40,549.10,529.50,549.00,549.00,29244000,
04/29/2025,546.00,556.57,544.12,554.44,554.44,11835000,
04/28/2025,555.64,558.49,540.59,549.74,549.74,15179000,
04/25/2025,546.80,549.86,536.25,547.27,547.27,17098900,
04/24/2025,518.73,533.90,517.50,533.15,533.15,13910000,
04/23/2025,528.53,535.34,516.52,520.27,520.27,18173900,
04/22/2025,491.87,506.88,486.36,500.28,500.28,17399400,
04/21/2025,491.33,493.50,479.80,484.66,484.66,16166000,
04/17/2025,505.25,507.30,498.01,501.48,501.48,14593500,
04/16/2025,508.51,513.37,495.63,502.31,502.31,18735100,
04/15/2025,532.11,537.94,517.50,521.52,521.52,15558700,
04/14/2025,556.17,557.77,528.28,531.48,531.48,14130900,
04/11/2025,535.51,547.40,528.59,543.57,543.57,17642300,
04/10/2025,575.49,581.30,535.30,546.29,546.29,28173500,
04/09/2025,509.27,587.89,502.11,585.77,585.77,39216600,
04/08/2025,543.25,547.43,502.86,510.45,510.45,28034200,
04/07/2025,485.10,539.37,481.90,516.25,516.25,36606100,
04/04/2025,506.62,518.00,494.20,504.73,504.73,38589800,
04/03/2025,546.22,552.56,530.30,531.62,531.62,34777500,
04/02/2025,574.91,592.66,573.36,583.93,583.93,13470800,
04/01/2025,570.84,589.91,570.00,586.00,586.00,12836600,
03/31/2025,563.50,578.70,553.30,576.36,576.36,21124700,
03/28/2025,600.31,601.75,573.92,576.74,576.74,17602800,
03/27/2025,602.00,614.25,600.10,602.58,602.58,10436500,
03/26/2025,624.89,626.75,606.61,610.98,610.98,12609800,
03/25/2025,626.76,633.88,621.18,626.31,626.31,15312500,
03/24/2025,614.97,622.54,612.20,618.85,618.85,15741300,
03/21/2025,583.42,597.54,580.95,596.25,596.25,25015900,
03/20/2025,582.76,610.20,579.51,586.00,586.00,24336500,
03/19/2025,584.28,592.32,574.77,584.06,584.06,20537500,
03/18/2025,600.05,600.25,574.66,582.36,582.36,20297700,
03/17/2025,607.46,613.10,598.00,604.90,604.90,15473900,
03/14/2025,602.80,608.86,594.78,607.60,607.60,12364500,
03/13/2025,620.25,620.50,586.51,590.64,590.11,16480300,
03/12/2025,629.90,633.33,609.35,619.56,619.01,15747000,
03/11/2025,595.05,614.93,593.33,605.71,605.17,17401500,
